Id_commune;Nom_commune;Code_departement;Code_commune;Id_region
1554;COSNES-ET-ROMAIN;54;138;44
1527;CUSTINES;54;150;44
1560;DAMELEVIERES;54;152;44
1569;DOMGERMAIN;54;162;44
1567;DOMMARTIN-LES-TOUL;54;167;44
1565;ECROUVES;54;174;44
1511;ESSEY LES NANCY;54;184;44
1563;FOUG;54;205;44
1524;FROUARD;54;215;44
1538;GORCY;54;234;44
1532;HAROUE;54;252;44
1556;HATRIZE;54;253;44
1539;HAUCOURT-MOULAINE;54;254;44
1530;HEILLECOURT;54;257;44
1551;HERSERANGE;54;261;44
1543;HOMECOURT;54;263;44
1552;HUSSIGNY GODBRANGE;54;270;44
1541;JARNY;54;273;44
1516;JARVILLE LA MALGRANGE;54;274;44
1540;JOEUF;54;280;44
1526;LANEUVEVILLE-DEVANT-NANCY;54;300;44
1523;LAXOU;54;304;44
1548;LONGLAVILLE;54;321;44
1550;LONGUYON;54;322;44
1536;LONGWY;54;323;44
1558;LUNEVILLE;54;329;44
1517;MALZEVILLE;54;339;44
1522;MAXEVILLE;54;357;44
1520;MEREVILLE;54;364;44
1545;MONT SAINT MARTIN;54;382;44
1561;MONT-SUR-MEURTHE;54;383;44
1564;PIERRE-LA-TREICHE;54;426;44
1514;PONT A MOUSSON;54;431;44
1531;PONT-SAINT-VINCENT;54;432;44
1521;PULNOY;54;439;44
1546;REHON;54;451;44
1529;RICHARDMENIL;54;459;44
1515;SAINT MAX;54;482;44
1534;SAINT-NICOLAS-DE-PORT;54;483;44
1542;SAULNES;54;493;44
1570;THIAUCOURT-REGNIEVILLE;54;518;44
1549;THIL;54;521;44
1528;TOMBLAINE;54;526;44
1566;TOUL;54;528;44
1537;TRIEUX;54;533;44
1544;TUCQUEGNIEUX;54;536;44
1535;VAL DE BRIEY;54;99;44
1557;VALLEROY;54;542;44
1513;VANDOEUVRE LES NANCY;54;547;44
1533;VARANGEVILLE;54;549;44
1559;VATHIMENIL;54;550;44
1518;VILLERS LES NANCY;54;578;44
1553;VILLERUPT;54;580;44
1568;VILLEY-SAINT-ETIENNE;54;584;44
1512;NANCY;54;395;44
302;NARBONNE;11;262;76
300;GRUISSAN;11;170;76
301;LEUCATE;11;202;76
307;BAGES;11;24;76
305;BOUTENAC;11;48;76
290;CARCASSONNE;11;69;76
291;CASTELNAUDARY;11;76;76
311;COURSAN;11;106;76
297;FITOU;11;144;76
304;FLEURY D AUDE;11;145;76
294;LAVALETTE;11;199;76
308;LEZIGNAN-CORBIERES;11;203;76
295;LIMOUX;11;206;76
310;MOUSSAN;11;258;76
292;PEXIORA;11;281;76
306;PEYRIAC DE MER;11;285;76
299;PORT-LA-NOUVELLE;11;266;76
296;RENNES LES BAINS;11;310;76
309;SALLES D AUDE;11;370;76
298;SIGEAN;11;379;76
293;TREBES;11;397;76
303;VINASSAN;11;441;76
377;BENERVILLE-SUR-MER;14;59;28
374;BLONVILLE-SUR-MER;14;79;28
363;CAEN;14;118;28
371;DEAUVILLE;14;220;28
369;DIVES-SUR-MER;14;225;28
378;DOZULE;14;229;28
379;EQUEMAUVILLE;14;243;28
365;GRANDCAMP-MAISY;14;312;28
367;HONFLEUR;14;333;28
372;HOULGATE;14;338;28
366;LISIEUX;14;366;28
364;MERVILLE FRANCEVILLE;14;409;28
373;PONT-L EVEQUE;14;514;28
381;RIVIERE-SAINT-SAUVEUR (LA);14;536;28
380;SAINT-ARNOULT;14;557;28
376;TOUQUES;14;699;28
375;TOURGEVILLE;14;701;28
368;TROUVILLE-SUR-MER;14;715;28
370;VILLERS-SUR-MER;14;754;28
2713;AIGUILLON-SUR-MER (L );85;1;52
2733;BARBATRE;85;11;52
2734;BARRE-DE-MONTS (LA);85;12;52
2729;BEAUVOIR-SUR-MER;85;18;52
2716;BRETIGNOLLES-SUR-MER;85;35;52
2706;BROUZILS (LES);85;38;52
2728;CHALLANS;85;47;52
2705;CHANTONNAY;85;51;52
2703;ESSARTS EN BOCAGE;85;84;52
2721;FAUTE-SUR-MER (LA);85;307;52
2711;FONTENAY-LE-COMTE;85;92;52
2709;HERBIERS (LES);85;109;52
2723;JARD-SUR-MER;85;114;52
2727;LES ACHARDS;85;152;52
2714;LONGEVILLE-SUR-MER;85;127;52
2712;LUCON;85;128;52
2704;MONTAIGU-VENDEE;85;146;52
2710;MORTAGNE-SUR-SEVRE;85;151;52
2730;NOIRMOUTIER-EN-L'ILE;85;163;52
2732;NOTRE-DAME-DE-MONTS;85;164;52
2701;ROCHE SUR YON (LA);85;191;52
2707;ROCHESERVIERE;85;190;52
2718;SABLES-D'OLONNE (LES);85;194;52
2708;SAINT-FULGENT;85;215;52
2720;SAINT-GILLES-CROIX-DE-VIE;85;222;52
2717;SAINT-HILAIRE-DE-RIEZ;85;226;52
2731;SAINT-JEAN-DE-MONTS;85;234;52
2702;SAINT-PHILBERT-DE-BOUAINE;85;262;52
2725;SAINT-VINCENT-SUR-JARD;85;278;52
2715;TALMONT-SAINT-HILAIRE;85;288;52
2722;TRANCHE-SUR-MER (LA);85;294;52
2726;VAIRE;85;298;52
1385;AMILLY;45;4;24
1373;ARDON;45;6;24
1372;BEAUGENCY;45;28;24
1390;BEAUNE-LA-ROLANDE;45;30;24
1371;BOULAY-LES-BARRES;45;46;24
1393;BRIARE;45;53;24
1386;CEPOY;45;61;24
1383;CHALETTE-SUR-LOING;45;68;24
1362;CHANTEAU;45;72;24
1377;CHATEAUNEUF S LOIRE;45;82;24
1370;CHECY;45;89;24
1364;FLEURY LES AUBRAIS;45;147;24
1391;GIEN;45;155;24
1365;INGRE;45;169;24
1378;JARGEAU;45;173;24
1358;LA CHAPELLE ST MESMIN;45;75;24
1374;LA FERTE SAINT-AUBIN;45;146;24
1376;LAILLY EN VAL;45;179;24
1388;LE MALESHERBOIS;45;191;24
1380;MEUNG-SUR-LOIRE;45;203;24
1382;MONTARGIS;45;208;24
1375;NEUVILLE-AUX-BOIS;45;224;24
1357;OLIVET;45;232;24
1381;PATAY;45;248;24
1389;PITHIVIERS;45;252;24
1387;PUISEAUX;45;258;24
1369;SAINT-DENIS-EN-VAL;45;274;24
1384;SAINT-HILAIRE-LES-ANDRESIS;45;281;24
1363;SAINT-HILAIRE-SAINT-MESMIN;45;282;24
1360;SAINT-JEAN-LE-BLANC;45;286;24
1367;SAINT-PRYVE-SAINT-MESMIN;45;298;24
1379;SANDILLON;45;300;24
1368;SARAN;45;302;24
1366;SEMOY;45;308;24
1355;ST JEAN DE BRAYE;45;284;24
1359;ST JEAN DE LA RUELLE;45;285;24
1392;SULLY-SUR-LOIRE;45;315;24
1361;ORLEANS;45;234;24
1501;AVENAY-VAL-D'OR;51;28;44
1486;AVIZE;51;29;44
1491;AY-CHAMPAGNE;51;30;44
1496;BETHENY;51;55;44
1497;BEZANNES;51;58;44
1479;BLACY;51;65;44
1476;CHALONS EN CHAMPAGNE;51;108;44
1494;CHIGNY-LES-ROSES;51;152;44
1492;CORMONTREUIL;51;172;44
1485;CRAMANT;51;196;44
1490;DIZY;51;210;44
1483;DORMANS;51;217;44
1482;EPERNAY;51;230;44
1498;FISMES;51;250;44
